gene,fbgn,gene_transcript_start,fc3.count,fc4.count,fc5.count,fc6.count,p,q,logConc,logFC
bic,FBgn0000181,bic-PA-245,164,156,306,308,2.30368748817994e-10,2.67817274954589e-08,-13.866222545649,0.687770283708399
CG6523,FBgn0032509,CG6523-PA-402,439,471,362,384,2.32608753281642e-10,2.69890132638649e-08,-12.9718997825295,-0.538528181041718
PpD3,FBgn0005777,PpD3-PA-1524,269,257,466,467,2.36799719061169e-10,2.74214074672834e-08,-13.2058480399057,0.574373796255438
Klp61F,FBgn0004378,Klp61F-PA-2442,36,26,5,7,2.43348090758433e-10,2.81245627084374e-08,-17.888306556787,-2.62226863896815
Rnp4F,FBgn0014024,Rnp4F-PA-1510,6,8,38,44,2.47576580147433e-10,2.85573782623966e-08,-17.5759146827143,2.29795731666273
CG8031,FBgn0038110,CG8031-PA-357,264,291,229,190,2.51236750446069e-10,2.88728789601851e-08,-13.7451113753362,-0.658102242145061
l(3)04053,FBgn0010830,l(3)04053-PA-598,44,46,123,113,2.51289576103748e-10,2.88728789601851e-08,-15.4711971707726,1.13834955548751
Nnf1a,FBgn0034523,Nnf1a-PA-478,52,61,14,25,2.53426723419635e-10,2.90618940421686e-08,-16.6053712319842,-1.78575999826569
CG42560,FBgn0260762,CG42560-PB-268,217,222,160,155,2.57498122934981e-10,2.94715584191746e-08,-14.119733520069,-0.731274079025193
Map60,FBgn0010342,Map60-PA-285,130,133,273,251,2.5906808971091e-10,2.95938940853905e-08,-14.1222891493566,0.741966041847137
CG13901,FBgn0035164,CG13901-PA-633,217,237,165,163,2.59988246197087e-10,2.9641671513335e-08,-14.0663943704691,-0.721181634990321
CG10592,FBgn0035619,CG10592-PA-1515,14,17,0,0,2.65437368080355e-10,3.01465386232493e-08,-33.7970577519275,-32.4379929837728
Nat1,FBgn0031020,Nat1-PA-1317,0,0,16,19,2.65437368080355e-10,3.01465386232493e-08,-33.8356571605523,32.3607941665232
wal,FBgn0010516,wal-PA-850,10,16,57,54,2.76317911790222e-10,3.12620368477145e-08,-16.9110274691258,1.84167208988805
CG33506,FBgn0053506,CG33506-PA-687,9,25,0,0,2.76028419111757e-10,3.12620368477145e-08,-33.7318582664111,-32.5683919548055
DLP,FBgn0031820,DLP-PA-3844,15,16,65,56,2.78923162144557e-10,3.14964514530273e-08,-16.721928379581,1.71220715341441
Cortactin,FBgn0025865,Cortactin-PA-307,927,1008,1835,2047,2.89117725282169e-10,3.25853332437297e-08,-11.2373069274616,0.754676285684343
CG9839,FBgn0037633,CG9839-PA-1819,94,104,49,60,2.90902906962058e-10,3.27240835797432e-08,-15.4595868649107,-1.11328073422803
ns3,FBgn0028274,ns3-PA-1759,227,239,176,164,2.93339162599781e-10,3.29354073475625e-08,-14.0216677927851,-0.707204071674892
lea,FBgn0002543,lea-PA-3454,1,2,23,27,3.02317738058925e-10,3.38790910327969e-08,-19.0439714272035,3.806605969872
wdb,FBgn0027492,wdb-PA-1101,68,61,33,24,3.25904978930433e-10,3.64532125865028e-08,-16.2363402074504,-1.43095897942093
brat,FBgn0010300,brat-PA-3027,19,13,61,63,3.46045945068023e-10,3.8632857133889e-08,-16.6812315204888,1.7017878492235
CG12576,FBgn0031190,CG12576-PA-237,199,198,375,355,3.6313784415887e-10,4.04645184911972e-08,-13.5860064833957,0.626214645846497
CG3156,FBgn0023536,CG3156-PA-1164,127,120,255,240,3.69477281152787e-10,4.10933884563489e-08,-14.2085328311766,0.750325601961651
Obp99a,FBgn0039678,Obp99a-PA-75,1196,1259,1129,1102,3.71099696519274e-10,4.11189603696723e-08,-11.4658951402624,-0.390193194385592
EndoGI,FBgn0028515,EndoGI-PA-478,508,542,896,818,3.70668849241006e-10,4.11189603696723e-08,-12.2689785912992,0.454382743672086
CG33156,FBgn0053156,CG33156-PA-603,66,52,144,139,3.79920325242739e-10,4.20174804647672e-08,-15.144638805069,1.00942048370988
vari,FBgn0250785,vari-PB-1503,33,35,11,6,3.84997615354807e-10,4.24777242200905e-08,-17.570985609297,-2.25243372037594
CG1600,FBgn0033188,CG1600-PA-471,110,109,224,225,3.85520339022122e-10,4.24777242200905e-08,-14.3656321809272,0.783459610148547
Cht3,FBgn0250907,Cht3-PA-5149,40,38,106,128,3.87922313659719e-10,4.26627858475152e-08,-15.5796940212302,1.33372834561073
RpL10Ab,FBgn0036213,RpL10Ab-PA-610,1328,1375,1313,1161,3.89287502206822e-10,4.2733348151172e-08,-11.3222295568844,-0.380814812547378
CG43163,FBgn0262719,CG43163-PC-6919,230,258,187,174,4.32440388901571e-10,4.73823088826511e-08,-13.9452562693625,-0.687112080693176
dia,FBgn0011202,dia-PC-329,103,106,62,57,4.36109880609816e-10,4.76958839426936e-08,-15.3573306763647,-1.06496887437133
alpha-Cat,FBgn0010215,alpha-Cat-PA-2713,714,771,678,621,4.40843899090092e-10,4.81245083039975e-08,-12.2189424778709,-0.445482702441497
grn,FBgn0001138,grn-PA-1320,169,156,313,305,4.42543775909843e-10,4.82209415455416e-08,-13.8503782287467,0.67459346173632
CG4061,FBgn0025630,CG4061-PA-1066,217,215,149,162,4.50137469393951e-10,4.88680490210808e-08,-14.1403902840635,-0.726376404078946
CG3262,FBgn0032986,CG3262-PD-579,139,111,70,61,4.49833235644406e-10,4.88680490210808e-08,-15.1581595018533,-1.18683808978527
Bruce,FBgn0037808,Bruce-PA-13897,361,373,643,598,4.71275772092752e-10,5.10689991711078e-08,-12.7600205491177,0.505064322561757
CG7173,FBgn0037099,CG7173-PA-473,154,129,76,78,4.80924595028398e-10,5.20191295479618e-08,-14.9517832985298,-1.1314259156821
RpL37A,FBgn0261608,RpL37A-PA-138,471,515,425,399,4.96826739403925e-10,5.36409388952779e-08,-12.8426036171353,-0.511177028949984
Elp2,FBgn0033540,Elp2-PA-1753,12,19,0,0,4.98672634446834e-10,5.36440955285266e-08,-33.7973019902615,-32.4375045071048
CG11163,FBgn0025693,CG11163-PA-850,12,19,0,0,4.98672634446834e-10,5.36440955285266e-08,-33.7973019902615,-32.4375045071048
CG1347,FBgn0037363,CG1347-PB-3031,1,3,20,34,5.00081014051597e-10,5.36977900506531e-08,-18.7804709555822,3.50384487258441
mod(mdg4),FBgn0002781,mod(mdg4)-PA-1431,84,77,37,44,5.06457496022638e-10,5.42837872960163e-08,-15.8228940337539,-1.24346003836986
Sra-1,FBgn0038320,Sra-1-PA-2850,0,0,19,15,5.26690501787029e-10,5.63501587944535e-08,-33.8566182714858,32.3188719446562
14-3-3zeta,FBgn0004907,14-3-3zeta-PA-660,3046,3404,6085,6492,5.35234142670651e-10,5.71606835404038e-08,-9.52135154117706,0.713551166865357
Jwa,FBgn0032704,Jwa-PA-696,52,61,144,128,5.38928112834424e-10,5.74512932992336e-08,-15.2047039881395,1.01486795278887
CG10424,FBgn0036848,CG10424-PA-843,120,141,82,81,5.51186236956948e-10,5.86521743823486e-08,-14.9701797752842,-0.931314428090811
fs(1)h,FBgn0004656,fs(1)h-PB-6075,68,81,34,39,5.8365406701528e-10,6.19953990823533e-08,-15.9539359185346,-1.28148794710934
CG9249,FBgn0032922,CG9249-PA-157,37,47,14,13,6.07755479504721e-10,6.44395387945957e-08,-17.0848698753992,-1.88969250488123
CG7185,FBgn0035872,CG7185-PA-1219,291,297,702,544,6.16509722393686e-10,6.52505935217318e-08,-12.9181730895658,0.828359029451884
CG10948,FBgn0036317,CG10948-PC-2092,34,26,7,5,6.38270120779117e-10,6.74328386278588e-08,-17.9122074821357,-2.57515688070123
mud,FBgn0002873,mud-PJ-6480,306,323,248,244,6.53125895864493e-10,6.88791234963665e-08,-13.5386814938206,-0.606658038890632
eIF-4a,FBgn0001942,eIF-4a-PA-933,6473,6852,6704,6165,6.56179786864607e-10,6.9077835744474e-08,-8.98205509655846,-0.302954723660622
CG14476,FBgn0027588,CG14476-PA-2202,56,80,183,168,6.67125597703926e-10,7.01051664576485e-08,-14.8878597671452,1.116502278971
CG18213,FBgn0038470,CG18213-PB-2538,90,85,49,45,6.80204042008116e-10,7.13525582822652e-08,-15.655465836962,-1.14914344639047
CG31287,FBgn0051287,CG31287-PA-646,1379,1491,1326,1317,7.06883017616869e-10,7.4019675983009e-08,-11.2310299697308,-0.370638234713651
RpL10Ab,FBgn0036213,RpL10Ab-PA-627,10921,11336,16827,15645,7.10626062545915e-10,7.42799185873215e-08,-7.94416490105162,0.292066081594566
Cht3,FBgn0250907,Cht3-PA-6291,328,371,586,596,7.21306712792328e-10,7.52631304665889e-08,-12.8303272543785,0.50612461086711
CG2144,FBgn0033187,CG2144-PA-2756,211,221,170,144,7.38345894447543e-10,7.69051707835678e-08,-14.1337876670503,-0.712877521618894
CG9466,FBgn0032068,CG9466-PA-2941,63,53,26,24,7.64172529940712e-10,7.94472971782897e-08,-16.4074113602002,-1.46668727606042
pUf68,FBgn0028577,pUf68-PA-1305,73,71,171,153,7.65442651197921e-10,7.94472971782897e-08,-14.9035603687004,0.91733731823093
RpL8,FBgn0261602,RpL8-PA-592,3,1,27,24,8.85591921949e-10,9.17566451341474e-08,-18.8221960066187,3.41999208847694
CG17454,FBgn0039977,CG17454-PA-687,422,388,332,332,9.41612007524056e-10,9.73900559375756e-08,-13.1396574192735,-0.539498658278699
east,FBgn0261954,east-PB-6807,12,9,51,45,9.48248870268696e-10,9.79050380774976e-08,-17.169773263721,1.94016348258062
CG1316,FBgn0035526,CG1316-PA-901,259,277,213,196,9.53088772908744e-10,9.79155201088438e-08,-13.7874806606552,-0.642530551201305
Gpi1,FBgn0086448,Gpi1-PB-1336,18,12,0,0,9.53324258569291e-10,9.79155201088438e-08,-33.8204203702105,-32.3912677472067
CG1636,FBgn0030030,CG1636-PA-1059,19,11,0,0,9.53324258569291e-10,9.79155201088438e-08,-33.8203378712325,-32.3914327451628
arm,FBgn0000117,arm-PA-1734,10,3,47,34,9.92885247054054e-10,1.01625332617883e-07,-17.6383576919085,2.38559282138764
Hsp26,FBgn0001225,Hsp26-PA-335,2,4,29,28,9.91820291603104e-10,1.01625332617883e-07,-18.4494964986579,2.99558362025529
exba,FBgn0250753,exba-PA-903,4684,4851,4776,4405,9.97556608940402e-10,1.01926813513499e-07,-9.46688753567236,-0.307515616477616
CtBP,FBgn0020496,CtBP-PA-427,95,83,190,188,1.02666238891175e-09,1.04719563668999e-07,-14.6392793803932,0.833992168374728
ird5,FBgn0024222,ird5-PB-1665,12,17,0,0,1.04533398260049e-09,1.05530486058837e-07,-33.8451803948661,-32.3417476978954
CG13343,FBgn0033882,CG13343-PA-463,1,1,24,21,1.04041675987481e-09,1.05530486058837e-07,-19.4124982146604,4.2394482941991
CG7099,FBgn0032517,CG7099-PA-1203,18,21,3,1,1.04041675987481e-09,1.05530486058837e-07,-19.0157391110226,-3.53777260230301
RpL13,FBgn0011272,RpL13-PA-41,617,608,1050,910,1.04441325471389e-09,1.05530486058837e-07,-12.0610228753393,0.424636299937885
